trade_num,timestamp_utc,timestamp_est,track,side,qty,entry_price,sl_price,tp_price,exit_price,duration_sec,gross_pnl,commission,net_pnl,balance,buffer_to_floor,outcome
75,2026-09-04 17:02:23,01:02:23 PM,Track A,SELL,0.1,4432.45,4432.60,4430.45,4430.45,17,20.00,0.70,19.30,5493.36,793.36,WIN_TP
76,2026-09-04 17:05:30,01:05:30 PM,Track A,SELL,0.1,4430.77,4430.92,4428.77,4430.92,4,-1.50,0.70,-2.20,5491.16,791.16,STOP_LOSS
77,2026-09-04 17:10:32,01:10:32 PM,Track A,SELL,0.1,4432.82,4432.97,4430.82,4432.97,1,-1.50,0.70,-2.20,5488.96,788.96,STOP_LOSS
78,2026-09-04 17:15:44,01:15:44 PM,Track A,SELL,0.1,4434.08,4434.23,4432.08,4434.23,10,-1.50,0.70,-2.20,5486.76,786.76,STOP_LOSS
79,2026-09-04 17:21:55,01:21:55 PM,Track A,SELL,0.1,4436.07,4436.22,4434.07,4434.07,1,20.00,0.70,19.30,5506.06,806.06,WIN_TP
80,2026-09-04 17:25:20,01:25:20 PM,Track A,SELL,0.1,4432.32,4432.47,4430.32,4430.32,6,20.00,0.70,19.30,5525.36,825.36,WIN_TP
81,2026-09-04 17:30:30,01:30:30 PM,Track A,SELL,0.1,4429.03,4429.18,4427.03,4429.18,4,-1.50,0.70,-2.20,5523.16,823.16,STOP_LOSS
82,2026-09-04 17:36:20,01:36:20 PM,Track A,SELL,0.1,4424.13,4424.28,4422.13,4423.38,64,7.50,0.70,6.80,5529.96,829.96,RATCHET_WIN
83,2026-09-04 17:40:20,01:40:20 PM,Track A,SELL,0.1,4420.83,4420.98,4418.83,4420.08,30,7.50,0.70,6.80,5536.76,836.76,RATCHET_WIN
84,2026-09-04 17:48:47,01:48:47 PM,Track A,SELL,0.1,4419.08,4419.23,4417.08,4419.23,3,-1.50,0.70,-2.20,5534.56,834.56,STOP_LOSS
85,2026-09-04 17:53:53,01:53:53 PM,Track A,SELL,0.1,4420.27,4420.42,4418.27,4420.42,1,-1.50,0.70,-2.20,5532.36,832.36,STOP_LOSS
86,2026-09-04 17:55:20,01:55:20 PM,Track A,SELL,0.1,4417.98,4418.13,4415.98,4417.23,39,7.50,0.70,6.80,5539.16,839.16,RATCHET_WIN
