timestamp_utc,epoch_ts,tick_total,tick_in_m1,tick_in_m5,bid,ask,spread_cents,spread_status,tick_delta_cents,tick_direction,disp_m1_cents,disp_m5_cents,tick_vel_per_sec,price_vel_cents_sec,pulse_move_cents,speed_tier,m5_open,m5_high,m5_low,m5_close,m5_ema9,m5_ema21,m5_ema_sep_cents,m5_trend,m5_range_cents,m1_open,m1_high,m1_low,m1_close,m1_elapsed_sec,shield_status,m1_range_cents,m1_body_cents,m1_uwick_cents,m1_lwick_cents,m1_uwick_pct,m1_lwick_pct,opp_wick_pct,wick_gate_status,breakout_trigger,dist_to_trigger_cents,breakout_triggered,recommended_track,active_pos_count,used_margin,margin_buffer,loss_floor_buffer,signal_valid,decision_reason
2026-09-04 21:03:18.316,1788555798.317,77256,37,384,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,18,ACTIVE_18s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH|OPENING_SHIELD_ACTIVE_18s
2026-09-04 21:03:18.818,1788555798.819,77257,38,385,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,18,ACTIVE_18s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH|OPENING_SHIELD_ACTIVE_18s
2026-09-04 21:03:19.319,1788555799.320,77258,39,386,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,19,ACTIVE_19s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH|OPENING_SHIELD_ACTIVE_19s
2026-09-04 21:03:19.860,1788555799.861,77259,40,387,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,19,ACTIVE_19s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH|OPENING_SHIELD_ACTIVE_19s
2026-09-04 21:03:20.325,1788555800.326,77260,41,388,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,20,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
2026-09-04 21:03:20.828,1788555800.828,77261,42,389,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,20,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
2026-09-04 21:03:21.330,1788555801.330,77262,43,390,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,21,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
2026-09-04 21:03:21.831,1788555801.832,77263,44,391,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,21,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
2026-09-04 21:03:22.333,1788555802.334,77264,45,392,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,22,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
2026-09-04 21:03:22.835,1788555802.836,77265,46,393,4430.99,4431.07,8.0,PASS_<=10c,+0.0,FLAT,+0.0,+34.0,4.2,+0.00,0.00,SLOW,4430.65,4431.16,4430.60,4430.99,0.00,0.00,0.0,BULLISH,56.0,4430.99,4430.99,4430.99,4430.99,22,CLEARED_>=20s,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_<20%,0.00,0.0,NO,STANDBY_VEL_LOW,0,0.00,4590.00,815.02,FALSE,M1_DIRECTION_MISMATCH
